Nombre empleado	Sueldo Base	Descuento Salud	Descuento AFP	Sueldo Líquido
Juan Pérez	353912	24773	42469	286670
María García	1633035	114312	195964	1322759
Carlos López	2116735	148171	254008	1714556
Ana Martínez	2376177	166332	285141	1924704
Pedro Rodríguez	618680	43307	74241	501132
Laura Hernández	2022127	141548	242655	1637924
Miguel Sánchez	1212254	84857	145470	981927
Isabel Gómez	2230980	156168	267717	1807095
Francisco Díaz	1436052	100523	172326	1163203
Elena Fernández	2210270	154718	265232	1790320
